date,dimensions,grandParentId,grandParentParentGraph,hasCoordinatesDown,hasCoordinatesUp,id,level,name,parentGraph,parentId,parentName,temperature_2m,total_precipitation_sum,type,weight
2023-01-01,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,298.8689265479403,9.139444059048099e-07,Polygon,1
2023-01-01,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.16254877548727,8.52346317969932e-07,Polygon,1
2023-01-02,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,298.9805937291523,3.859927792563179e-06,Polygon,1
2023-01-02,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.87711454485424,4.351138045421976e-07,Polygon,1
2023-01-03,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.1285717748665,2.080699376986107e-06,Polygon,1
2023-01-03,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.831107650023,1.7668810782102992e-06,Polygon,1
2023-01-04,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,298.9631226975469,2.045927402546402e-06,Polygon,1
2023-01-04,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.6529707616713,1.720861632747983e-06,Polygon,1
2023-01-05,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,298.7359540103428,4.661414715768336e-06,Polygon,1
2023-01-05,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.2758307278729,1.7929069959326577e-06,Polygon,1
2023-01-06,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.16307971598854,8.803164462146061e-07,Polygon,1
2023-01-06,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.7887210423041,8.747059687667919e-07,Polygon,1
2023-01-07,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.570584633297,2.1467194528668188e-06,Polygon,1
2023-01-07,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.3622297547857,2.1467194528668188e-06,Polygon,1
2023-01-08,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.848327398252,1.4320858614332574e-06,Polygon,1
2023-01-08,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.1074784542939,0.0,Polygon,1
2023-01-09,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.32345304855966,1.9215790120820924e-06,Polygon,1
2023-01-09,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.12262845826746,1.2904404798064206e-06,Polygon,1
2023-01-10,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.6111985911254,5.513324142894214e-07,Polygon,1
2023-01-10,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.3125377144787,4.351138045421976e-07,Polygon,1
2023-01-11,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.50292398735166,1.2339444473139254e-07,Polygon,1
2023-01-11,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.1770079834827,0.0,Polygon,1
2023-01-12,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.8960691650948,4.4973608655242695e-06,Polygon,1
2023-01-12,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.3953574655892,0.0,Polygon,1
2023-01-13,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.95014220781854,8.431769281755274e-06,Polygon,1
2023-01-13,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.13686244370666,1.7046928064701206e-06,Polygon,1
2023-01-14,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.4747511670879,1.0516943952538173e-08,Polygon,1
2023-01-14,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.9985320270264,0.0,Polygon,1
2023-01-15,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.04567026065513,4.069391280858897e-05,Polygon,1
2023-01-15,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.54214530991754,4.357833144843307e-06,Polygon,1
2023-01-16,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.19996280971344,5.2804649524091665e-06,Polygon,1
2023-01-16,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.0188589260986,1.7219645597908368e-06,Polygon,1
2023-01-17,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.3978971975702,7.140708201559777e-07,Polygon,1
2023-01-17,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.7998327877772,7.002084064611274e-07,Polygon,1
2023-01-18,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.2468745370668,8.209055764736088e-07,Polygon,1
2023-01-18,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.7673977745388,4.5532836758811715e-07,Polygon,1
2023-01-19,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.2194499495843,6.643055730038558e-05,Polygon,1
2023-01-19,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.5693842626986,2.100480199892362e-06,Polygon,1
2023-01-20,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.1410584471367,1.3092756232700529e-05,Polygon,1
2023-01-20,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.3552453811904,1.7943616288970358e-05,Polygon,1
2023-01-21,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.8388476973455,0.00019099518374359473,Polygon,1
2023-01-21,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.82710882064947,1.5944666049430737e-06,Polygon,1
2023-01-22,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.2359829860952,2.8122328680153664e-05,Polygon,1
2023-01-22,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.56138606898423,4.2472207721200226e-07,Polygon,1
2023-01-23,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.73397455912084,0.0008533318708603957,Polygon,1
2023-01-23,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.8227165967014,9.45536364846212e-07,Polygon,1
2023-01-24,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.88778453049866,0.0008775899956699262,Polygon,1
2023-01-24,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.02899742209127,2.2561058912956056e-05,Polygon,1
2023-01-25,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,298.78936842400634,0.0008864022285032857,Polygon,1
2023-01-25,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.5054143406737,0.0002720491286880818,Polygon,1
2023-01-26,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.505076206351,8.305643689871744e-06,Polygon,1
2023-01-26,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.72040527729445,1.6556583585181443e-05,Polygon,1
2023-01-27,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.2698868679619,0.0006717279793244954,Polygon,1
2023-01-27,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.9896729564871,9.447010972636028e-06,Polygon,1
2023-01-28,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.5272440608759,0.0002393320591111981,Polygon,1
2023-01-28,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.7577214381122,7.500604904397638e-06,Polygon,1
2023-01-29,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.8264756402925,0.001048341801882025,Polygon,1
2023-01-29,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.4012900209448,0.00015999108609851794,Polygon,1
2023-01-30,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.2636292634963,0.0006806342275283751,Polygon,1
2023-01-30,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.5890625564283,3.37299652821067e-06,Polygon,1
2023-01-31,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.0141759774164,0.00011569254300973154,Polygon,1
2023-01-31,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.48860580764745,2.5756710995988625e-06,Polygon,1
2023-02-01,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.5316938743234,1.4730333187261292e-06,Polygon,1
2023-02-01,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.4650767523473,1.2933428479300346e-06,Polygon,1
2023-02-02,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.18622618940805,2.2059023009354737e-05,Polygon,1
2023-02-02,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.93504970616567,1.8397289915006007e-06,Polygon,1
2023-02-03,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.0178685296468,0.001169038018483754,Polygon,1
2023-02-03,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.22790414488657,7.68584536362943e-05,Polygon,1
2023-02-04,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.28159877338027,0.0006200616359969457,Polygon,1
2023-02-04,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.30768928899914,5.6808971179629965e-06,Polygon,1
2023-02-05,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.00164924222247,0.00012763215884411833,Polygon,1
2023-02-05,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.59485949229946,3.2314551790188817e-06,Polygon,1
2023-02-06,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.6492450499422,9.46118601895583e-05,Polygon,1
2023-02-06,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.8053302086124,4.3531988045382395e-07,Polygon,1
2023-02-07,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.74150630580397,1.5216671532468816e-05,Polygon,1
2023-02-07,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.63502139549826,1.7411027551175935e-06,Polygon,1
2023-02-08,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.3170854370474,0.0005730444903744874,Polygon,1
2023-02-08,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.88974788021807,4.3464848071307975e-07,Polygon,1
2023-02-09,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.50232662993466,0.0016852188408767862,Polygon,1
2023-02-09,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.0323859379699,8.907834710338687e-06,Polygon,1
2023-02-10,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.9411537670982,0.00016552476195812603,Polygon,1
2023-02-10,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.7013165939151,1.0434993343509403e-06,Polygon,1
2023-02-11,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.5943124578681,0.00012226337653768165,Polygon,1
2023-02-11,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.9291808159214,1.475738067594043e-06,Polygon,1
2023-02-12,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.4816852742329,0.00019181702644062283,Polygon,1
2023-02-12,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.9558335171931,1.907690434943938e-07,Polygon,1
2023-02-13,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.037066692258,0.00011384361176636646,Polygon,1
2023-02-13,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.94760525923556,8.479695241647991e-07,Polygon,1
2023-02-14,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.33000296105837,0.00022242011011064042,Polygon,1
2023-02-14,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.35854009726,8.609598580733291e-07,Polygon,1
2023-02-15,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.03988296955066,0.0009652021655699869,Polygon,1
2023-02-15,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.6369885519845,4.618705835075982e-05,Polygon,1
2023-02-16,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.4032882534892,0.0005664589278018103,Polygon,1
2023-02-16,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.97799060218455,8.98081095563022e-06,Polygon,1
2023-02-17,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.7725442570283,2.0808247536235007e-05,Polygon,1
2023-02-17,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.45545778814164,3.88605241398368e-05,Polygon,1
2023-02-18,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.1230419809011,2.2430376545189597e-06,Polygon,1
2023-02-18,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,303.19463921415314,2.1583064722108247e-06,Polygon,1
2023-02-19,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.612174526912,4.908046933789924e-05,Polygon,1
2023-02-19,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.63932484393536,2.030788960454052e-06,Polygon,1
2023-02-20,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.6282921205903,3.8453337120257646e-05,Polygon,1
2023-02-20,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.8648497597517,4.1387882936869396e-09,Polygon,1
2023-02-21,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.92157494503107,4.5189982350541685e-06,Polygon,1
2023-02-21,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.7805415776402,3.325943295690929e-06,Polygon,1
2023-02-22,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.7433066359215,7.727359488608393e-05,Polygon,1
2023-02-22,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.4285335109647,2.143945456149424e-06,Polygon,1
2023-02-23,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.54555469531107,9.846446219267507e-05,Polygon,1
2023-02-23,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.36385220693296,1.7879357136912089e-06,Polygon,1
2023-02-24,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.16706811010954,0.0014560102132653875,Polygon,1
2023-02-24,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.2699057398454,0.00013850132871139236,Polygon,1
2023-02-25,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.953843166616,0.0006388982510049569,Polygon,1
2023-02-25,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.0876693338367,2.399136518958066e-06,Polygon,1
2023-02-26,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.1550774559418,7.919665036430867e-06,Polygon,1
2023-02-26,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.7190276293525,1.1988076273309534e-06,Polygon,1
2023-02-27,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.2388102506611,1.198927745248501e-06,Polygon,1
2023-02-27,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.1699604096015,8.70227722771233e-07,Polygon,1
2023-02-28,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.7044914738556,1.1879602460660511e-05,Polygon,1
2023-02-28,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.7462514718124,3.750137534337303e-06,Polygon,1
