time_period,rainfall,mean_temperature,disease_cases,population,location
2010-01,37.965,20.04,1.0,75049.5636160714,Bokeo
2010-02,8.527,22.22,1.0,75049.5636160714,Bokeo
2010-03,23.591,24.59,2.0,75049.5636160714,Bokeo
2010-04,101.176,27.52,0.0,75049.5636160714,Bokeo
2010-05,106.366,27.23,1.0,75049.5636160714,Bokeo
2010-06,235.044,26.01,5.0,75049.5636160714,Bokeo
2010-07,512.741,24.6,9.0,75049.5636160714,Bokeo
2010-08,483.291,23.8,8.0,75049.5636160714,Bokeo
2010-09,282.196,23.74,27.0,75049.5636160714,Bokeo
2010-10,145.437,22.68,22.0,75049.5636160714,Bokeo
2010-11,6.601,20.44,18.0,75049.5636160714,Bokeo
2010-12,45.062,19.31,4.0,75049.5636160714,Bokeo
2011-01,29.189,18.16,1.0,76704.2431640625,Bokeo
2011-02,7.948,21.24,1.0,76704.2431640625,Bokeo
2011-03,95.081,21.08,1.0,76704.2431640625,Bokeo
2011-04,165.476,23.52,1.0,76704.2431640625,Bokeo
2011-05,309.719,23.51,3.0,76704.2431640625,Bokeo
2011-06,280.401,23.93,4.0,76704.2431640625,Bokeo
2011-07,395.965,24.14,6.0,76704.2431640625,Bokeo
2011-08,394.6,23.5,10.0,76704.2431640625,Bokeo
2011-09,346.165,23.28,8.0,76704.2431640625,Bokeo
2011-10,65.909,22.71,10.0,76704.2431640625,Bokeo
2011-11,11.921,20.2,6.0,76704.2431640625,Bokeo
2011-12,5.966,18.21,3.0,76704.2431640625,Bokeo
2012-01,48.604,18.88,2.0,78358.9227120536,Bokeo
2012-02,10.379,22.47,2.0,78358.9227120536,Bokeo
2012-03,45.608,24.01,1.0,78358.9227120536,Bokeo
2012-04,75.97,25.76,2.0,78358.9227120536,Bokeo
2012-05,372.717,24.78,5.0,78358.9227120536,Bokeo
2012-06,234.729,24.37,10.0,78358.9227120536,Bokeo
2012-07,434.478,23.16,17.0,78358.9227120536,Bokeo
2012-08,362.176,23.7,17.0,78358.9227120536,Bokeo
2012-09,242.424,23.69,26.0,78358.9227120536,Bokeo
2012-10,107.072,22.96,28.0,78358.9227120536,Bokeo
2012-11,119.215,22.14,18.0,78358.9227120536,Bokeo
2012-12,27.869,19.29,8.0,78358.9227120536,Bokeo
2010-01,99.579,22.4,110.0,558527.426339286,Vientiane[prefecture]
2010-02,4.529,25.48,93.0,558527.426339286,Vientiane[prefecture]
2010-03,4.093,27.4,68.0,558527.426339286,Vientiane[prefecture]
2010-04,66.746,29.71,87.0,558527.426339286,Vientiane[prefecture]
2010-05,252.105,28.47,116.0,558527.426339286,Vientiane[prefecture]
2010-06,316.23,27.41,193.0,558527.426339286,Vientiane[prefecture]
2010-07,455.367,26.57,852.0,558527.426339286,Vientiane[prefecture]
2010-08,580.987,25.58,1291.0,558527.426339286,Vientiane[prefecture]
2010-09,353.751,25.89,1117.0,558527.426339286,Vientiane[prefecture]
2010-10,157.159,24.69,606.0,558527.426339286,Vientiane[prefecture]
2010-11,1.463,23.48,212.0,558527.426339286,Vientiane[prefecture]
2010-12,12.176,22.25,36.0,558527.426339286,Vientiane[prefecture]
2011-01,2.258,19.5,23.0,568977.998046875,Vientiane[prefecture]
2011-02,5.528,23.89,18.0,568977.998046875,Vientiane[prefecture]
2011-03,105.513,22.54,26.0,568977.998046875,Vientiane[prefecture]
2011-04,69.588,26.93,31.0,568977.998046875,Vientiane[prefecture]
2011-05,248.2,26.33,67.0,568977.998046875,Vientiane[prefecture]
2011-06,412.335,26.27,89.0,568977.998046875,Vientiane[prefecture]
2011-07,540.268,26.08,115.0,568977.998046875,Vientiane[prefecture]
2011-08,354.639,25.67,197.0,568977.998046875,Vientiane[prefecture]
2011-09,486.031,25.25,163.0,568977.998046875,Vientiane[prefecture]
2011-10,152.014,24.64,205.0,568977.998046875,Vientiane[prefecture]
2011-11,13.382,24.24,120.0,568977.998046875,Vientiane[prefecture]
2011-12,1.713,20.33,55.0,568977.998046875,Vientiane[prefecture]
2012-01,18.871,21.82,51.0,579428.569754464,Vientiane[prefecture]
2012-02,11.774,24.68,36.0,579428.569754464,Vientiane[prefecture]
2012-03,28.807,26.42,29.0,579428.569754464,Vientiane[prefecture]
2012-04,129.881,27.8,46.0,579428.569754464,Vientiane[prefecture]
2012-05,377.271,26.67,94.0,579428.569754464,Vientiane[prefecture]
2012-06,263.954,26.6,209.0,579428.569754464,Vientiane[prefecture]
2012-07,394.475,25.74,351.0,579428.569754464,Vientiane[prefecture]
2012-08,426.776,25.73,359.0,579428.569754464,Vientiane[prefecture]
2012-09,232.189,26.08,542.0,579428.569754464,Vientiane[prefecture]
2012-10,58.911,26.4,573.0,579428.569754464,Vientiane[prefecture]
2012-11,36.796,26.24,369.0,579428.569754464,Vientiane[prefecture]
2012-12,6.881,23.19,169.0,579428.569754464,Vientiane[prefecture]
2010-01,18.568,22.22,1.0,685766.336495536,Savannakhet
2010-02,24.886,25.09,2.0,685766.336495536,Savannakhet
2010-03,7.228,26.05,19.0,685766.336495536,Savannakhet
2010-04,54.372,28.2,51.0,685766.336495536,Savannakhet
2010-05,186.318,27.86,37.0,685766.336495536,Savannakhet
2010-06,213.602,26.97,293.0,685766.336495536,Savannakhet
2010-07,237.73,26.5,803.0,685766.336495536,Savannakhet
2010-08,452.702,24.98,566.0,685766.336495536,Savannakhet
2010-09,219.88,25.38,569.0,685766.336495536,Savannakhet
2010-10,294.59,23.57,158.0,685766.336495536,Savannakhet
2010-11,62.321,22.16,24.0,685766.336495536,Savannakhet
2010-12,9.036,21.39,0.0,685766.336495536,Savannakhet
2011-01,8.166,18.19,14.0,694482.169433594,Savannakhet
2011-02,7.73,22.24,11.0,694482.169433594,Savannakhet
2011-03,30.255,21.13,16.0,694482.169433594,Savannakhet
2011-04,80.605,25.43,20.0,694482.169433594,Savannakhet
2011-05,184.776,26.09,43.0,694482.169433594,Savannakhet
2011-06,264.151,25.75,57.0,694482.169433594,Savannakhet
2011-07,279.663,25.33,74.0,694482.169433594,Savannakhet
2011-08,345.62,24.95,127.0,694482.169433594,Savannakhet
2011-09,407.913,23.96,105.0,694482.169433594,Savannakhet
2011-10,248.981,23.29,132.0,694482.169433594,Savannakhet
2011-11,60.231,23.13,77.0,694482.169433594,Savannakhet
2011-12,12.468,18.97,36.0,694482.169433594,Savannakhet
2012-01,33.55,20.43,33.0,703198.002371652,Savannakhet
2012-02,6.125,22.61,23.0,703198.002371652,Savannakhet
2012-03,50.848,24.59,19.0,703198.002371652,Savannakhet
2012-04,105.211,26.51,30.0,703198.002371652,Savannakhet
2012-05,233.339,26.52,60.0,703198.002371652,Savannakhet
2012-06,268.42,25.78,134.0,703198.002371652,Savannakhet
2012-07,286.584,25.25,225.0,703198.002371652,Savannakhet
2012-08,248.395,25.08,230.0,703198.002371652,Savannakhet
2012-09,205.193,25.07,348.0,703198.002371652,Savannakhet
2012-10,46.7,25.13,367.0,703198.002371652,Savannakhet
2012-11,22.827,25.5,237.0,703198.002371652,Savannakhet
2012-12,7.775,23.08,108.0,703198.002371652,Savannakhet
