"year","district","population","week","weekly_hospitalised_cases","rhdailymean","rainsum","meantemperature"
2014,3,1138000,1,NA,50.2066666666667,0,18.5214285714286
2014,3,1138000,2,NA,53.9228571428571,0,14.35
2014,3,1138000,3,NA,55.5,0,19.8071428571429
2014,3,1138000,4,NA,49.7142857142857,0,16.9928571428571
2014,3,1138000,5,NA,63,0,17.9285714285714
2014,3,1138000,6,NA,52,0,21.6
2014,3,1138000,7,NA,47,0,19.2071428571429
2014,4,124000,1,NA,50.2066666666667,0,18.5214285714286
2014,4,124000,2,NA,53.9228571428571,0,14.35
2014,4,124000,3,NA,55.5,0,19.8071428571429
2014,4,124000,4,NA,49.7142857142857,0,16.9928571428571
2014,4,124000,5,NA,63,0,17.9285714285714
2014,4,124000,6,NA,52,0,21.6
2014,4,124000,7,NA,47,0,19.2071428571429
2014,5,449000,1,NA,50.2066666666667,0,18.5214285714286
2014,5,449000,2,NA,53.9228571428571,0,14.35
2014,5,449000,3,NA,55.5,0,19.8071428571429
2014,5,449000,4,NA,49.7142857142857,0,16.9928571428571
2014,5,449000,5,NA,63,0,17.9285714285714
2014,5,449000,6,NA,52,0,21.6
2014,5,449000,7,NA,47,0,19.2071428571429
2014,6,263000,1,NA,50.2066666666667,0,18.5214285714286
2014,6,263000,2,NA,53.9228571428571,0,14.35
2014,6,263000,3,NA,55.5,0,19.8071428571429
2014,6,263000,4,NA,49.7142857142857,0,16.9928571428571
2014,6,263000,5,NA,63,0,17.9285714285714
2014,6,263000,6,NA,52,0,21.6
2014,6,263000,7,NA,47,0,19.2071428571429
2014,7,445000,1,NA,50.2066666666667,0,18.5214285714286
2014,7,445000,2,NA,53.9228571428571,0,14.35
2014,7,445000,3,NA,55.5,0,19.8071428571429
2014,7,445000,4,NA,49.7142857142857,0,16.9928571428571
2014,7,445000,5,NA,63,0,17.9285714285714
2014,7,445000,6,NA,52,0,21.6
2014,7,445000,7,NA,47,0,19.2071428571429
2014,8,603000,1,NA,78.3333333333333,0,25.5714285714286
2014,8,603000,2,NA,85.8571428571429,8.11999988555908,23.3285714285714
2014,8,603000,3,NA,85.1428571428571,84.6999998092651,20.4714285714286
2014,8,603000,4,NA,79.1428571428571,0,24.1857142857143
2014,8,603000,5,NA,81.8571428571429,35.300000667572,21.7714285714286
2014,8,603000,6,NA,71.4285714285714,6.29999995231628,25
2014,8,603000,7,NA,80,47.2500004768372,24.6
2014,9,137000,1,NA,89.3333333333333,0.5,27.4571428571429
2014,9,137000,2,NA,83,0.75,26
2014,9,137000,3,NA,83,7.84000015258789,22.8
2014,9,137000,4,NA,82.5714285714286,0,24.1
2014,9,150000,5,NA,78.5,0,19.9714285714286
2014,9,150000,6,NA,80.1428571428571,0,19.1
2014,9,150000,7,NA,77,0,26.54
2014,10,124000,1,NA,86.6666666666667,0,22.3142857142857
2014,10,124000,2,NA,85,0,17.3
2014,10,124000,3,NA,77.1428571428571,18.9299993515015,19.0857142857143
2014,10,124000,4,NA,80.7142857142857,0,19.9571428571429
2014,10,124000,5,NA,84.4285714285714,2.25,19.4285714285714
2014,10,124000,6,NA,71,0,22.0571428571429
2014,10,124000,7,NA,74,0,22.9714285714286
2014,11,54000,1,NA,41.5833333333333,0,20.6642857142857
2014,11,54000,2,NA,47.7571428571429,0,14.3214285714286
2014,11,54000,3,NA,56.5314285714286,6.49999982118607,17.3642857142857
2014,11,54000,4,NA,61.0071428571429,0,17.6142857142857
2014,11,54000,5,NA,73.6971428571429,0,17.2642857142857
2014,11,54000,6,NA,59.6657142857143,0.200000002980232,19.8928571428571
2014,11,54000,7,NA,61.1085714285714,0,20.9571428571429
2014,12,361000,1,NA,81,4.50000009685755,23.6
2014,12,361000,2,NA,84.8333333333333,35.4000005722046,23.5166666666667
2014,12,361000,3,NA,82.5714285714286,1.80000005662441,25.4571428571429
2014,12,361000,4,NA,74.5,0,25.6
2014,12,361000,5,NA,75,8.80000019073486,27.3666666666667
2014,12,361000,6,NA,71.8,0,23.06
2014,12,361000,7,NA,71,8.3999999165535,25.3666666666667
2014,13,90000,1,NA,81,4.50000009685755,23.6
2014,13,90000,2,NA,84.8333333333333,35.4000005722046,23.5166666666667
2014,13,90000,3,NA,82.5714285714286,1.80000005662441,25.4571428571429
2014,13,90000,4,NA,74.5,0,25.6
2014,13,90000,5,NA,75,8.80000019073486,27.3666666666667
2014,13,90000,6,NA,71.8,0,23.06
2014,13,90000,7,NA,71,8.3999999165535,25.3666666666667
2014,15,235000,1,NA,60.03,0,23.3571428571429
2014,15,235000,2,NA,84.8883333333333,0.699999988079071,19.8857142857143
2014,15,235000,3,NA,86.9528571428571,109.799996614456,21.35
2014,15,235000,4,NA,70.1257142857143,3.90000009536743,23.0285714285714
2014,15,235000,5,NA,84.4828571428571,27.3999994397163,21.2857142857143
2014,15,235000,6,NA,74.1242857142857,93.0999994277954,24.6714285714286
2014,15,235000,7,NA,80.1485714285714,0,25.3571428571429
2014,17,393000,1,NA,60.3333333333333,0,19.4666666666667
2014,17,393000,2,NA,56.5714285714286,0,18.1714285714286
2014,17,393000,3,NA,77.7142857142857,0,21.4285714285714
2014,17,393000,4,NA,75,0,21.18
2014,17,393000,5,NA,71.4285714285714,0.400000005960464,21.1857142857143
2014,17,393000,6,NA,69.7142857142857,0,20
2014,17,393000,7,NA,66.5714285714286,0,20.0571428571429
2014,18,58000,1,NA,75.5,0,23.6571428571429
2014,18,58000,2,NA,80.6866666666667,0,21.8714285714286
2014,18,58000,3,NA,82.2857142857143,7.81000019051135,21.7333333333333
2014,18,58000,4,NA,81.6666666666667,0,20.825
2014,18,58000,5,NA,67.0657142857143,0,23.8357142857143
2014,18,58000,6,NA,74.2857142857143,0,23.8714285714286
2014,18,58000,7,NA,85.4285714285714,25.5999996066093,21.9928571428571
2014,19,298000,1,NA,75.5,0,23.6571428571429
2014,19,298000,2,NA,80.6866666666667,0,21.8714285714286
2014,19,298000,3,NA,82.2857142857143,7.81000019051135,21.7333333333333
2014,19,298000,4,NA,81.6666666666667,0,20.825
2014,19,298000,5,NA,67.0657142857143,0,23.8357142857143
2014,19,298000,6,NA,74.2857142857143,0,23.8714285714286
2014,19,298000,7,NA,85.4285714285714,25.5999996066093,21.9928571428571
2014,20,186000,1,NA,61.43,0,22.55
2014,20,186000,2,NA,61.9242857142857,0,23.5428571428571
2014,20,186000,3,NA,66.7571428571429,0,22.9428571428571
2014,20,186000,4,NA,59,11.3000001907349,24
2014,20,186000,5,NA,64.34,0,22.9214285714286
2014,20,186000,6,NA,55.5714285714286,0,23.9
2014,20,186000,7,NA,57.2857142857143,0,23.25
2014,21,552000,1,NA,75.5,0,23.6571428571429
2014,21,552000,2,NA,80.6866666666667,0,21.8714285714286
2014,21,552000,3,NA,82.2857142857143,7.81000019051135,21.7333333333333
2014,21,552000,4,NA,81.6666666666667,0,20.825
2014,21,552000,5,NA,67.0657142857143,0,23.8357142857143
2014,21,552000,6,NA,74.2857142857143,0,23.8714285714286
2014,21,552000,7,NA,85.4285714285714,25.5999996066093,21.9928571428571
2014,22,3093000,1,NA,50.2066666666667,0,18.5214285714286
2014,22,3093000,2,NA,53.9228571428571,0,14.35
2014,22,3093000,3,NA,55.5,0,19.8071428571429
2014,22,3093000,4,NA,49.7142857142857,0,16.9928571428571
2014,22,3093000,5,NA,63,0,17.9285714285714
2014,22,3093000,6,NA,52,0,21.6
2014,22,3093000,7,NA,47,0,19.2071428571429
2014,23,264000,1,NA,73.25,0,23.6428571428571
2014,23,264000,2,NA,70.4285714285714,4.59999990463257,24.4
2014,23,264000,3,NA,79.4285714285714,0,25.35
2014,23,264000,4,NA,76,0,27
2014,23,264000,5,NA,78,0,27.66
2014,23,264000,6,NA,77.8,0,27.4
2014,23,264000,7,NA,77.2,0,27.96
2014,24,679000,1,NA,78.0457142857143,0,28.7166666666667
2014,24,673000,2,NA,67.33,0,29.0625
2014,24,673000,3,NA,75.06,0,29.8857142857143
2014,24,673000,4,NA,75.7828571428571,0,31.5571428571429
2014,24,673000,5,NA,77.5971428571429,0,30.9857142857143
2014,24,673000,6,NA,74.81,0,31.8285714285714
2014,24,673000,7,NA,77.81,0,31.65
2014,25,120000,1,NA,63.3333333333333,70.8300008773804,30.0142857142857
2014,25,120000,2,NA,50.2857142857143,8.61999988555908,30.1285714285714
2014,25,120000,3,NA,59.1428571428571,19.789999961853,31.1357142857143
2014,25,120000,4,NA,49.1428571428571,0.25,30.2571428571429
2014,25,120000,5,NA,65,69.2699999809265,28.3142857142857
2014,25,120000,6,NA,78.1428571428571,79.6300010681152,29.1071428571429
2014,25,120000,7,NA,76.8571428571429,57.7800016403198,29.6142857142857
2014,26,1e+05,1,NA,51.6666666666667,0,23.4071428571429
2014,26,1e+05,2,NA,51.8571428571429,0,23.35
2014,26,1e+05,3,NA,49.1428571428571,0,23.7785714285714
2014,26,1e+05,4,NA,51.8571428571429,0,25.0571428571429
2014,26,1e+05,5,NA,47.6666666666667,0,23.2285714285714
2014,26,1e+05,6,NA,38.6666666666667,0,24.2071428571429
2014,26,1e+05,7,NA,42,0,26.8071428571429
2014,27,80000,1,NA,45.4,0,25.0571428571429
2014,27,79000,2,NA,30,0,23.3666666666667
2014,27,79000,3,NA,36,12.8700003623962,23
2014,27,79000,4,NA,42.8333333333333,0,25.0285714285714
2014,27,79000,5,NA,32.2,0,24.2714285714286
2014,27,79000,6,NA,35.4285714285714,0.25,22.3857142857143
2014,27,79000,7,NA,41.7142857142857,0.5,24.3142857142857
2014,29,778000,1,NA,74.87,12.3000001907349,25.3833333333333
2014,29,778000,2,NA,76.2014285714286,2,25.22
2014,29,778000,3,NA,66.0757142857143,0,25.9571428571429
2014,29,778000,4,NA,65.5914285714286,0,25.9714285714286
2014,29,778000,5,NA,79.64,26.2000002861023,24.6714285714286
2014,29,778000,6,NA,72.2271428571429,6.69999980926514,24.1714285714286
2014,29,778000,7,NA,69.2671428571429,2.39999997615814,24.1714285714286
2014,30,63000,1,NA,84,0,27.2785714285714
2014,30,63000,2,NA,76.5714285714286,0.200000002980232,23.0785714285714
2014,30,63000,3,NA,69.1428571428571,46.1999996900558,20.8357142857143
2014,30,63000,4,NA,72.7142857142857,0,24.55
2014,30,63000,5,NA,74.4285714285714,1.00000002980232,21.9357142857143
2014,30,63000,6,NA,64.4285714285714,0.200000002980232,26.5935714285714
2014,30,63000,7,NA,64.1428571428571,0,26.9642857142857
2014,32,434000,1,NA,71,0,25.4666666666667
2014,32,434000,2,NA,81.1428571428571,8.80000019073486,25.2083333333333
2014,32,434000,3,NA,76.4,14.3999998569489,26.75
2014,32,434000,4,NA,76.2,68,27.9333333333333
2014,32,434000,5,NA,82.2857142857143,116.599999308586,27.4166666666667
2014,32,434000,6,NA,85,83.0100011918694,27.4285714285714
2014,32,434000,7,NA,79.4285714285714,4.40000009536743,28.1071428571429
2014,33,328000,1,NA,72.3333333333333,0,24.85
2014,33,328000,2,NA,83.5714285714286,0,21.3285714285714
2014,33,328000,3,NA,80.1428571428571,0,21.4428571428571
2014,33,328000,4,NA,87.1428571428571,0,22.7714285714286
2014,33,328000,5,NA,85.7142857142857,0,22.0785714285714
2014,33,328000,6,NA,-42810.1428571429,0,23.4142857142857
2014,33,328000,7,NA,82,0,24.85
2014,34,102000,1,NA,89.3333333333333,1.01999998092651,19.3714285714286
2014,34,102000,2,NA,87.7142857142857,0,20.6785714285714
2014,34,102000,3,NA,88.5714285714286,32.3999996185303,22.1642857142857
2014,34,102000,4,NA,84.8571428571429,0,20.7
2014,34,102000,5,NA,86.7142857142857,0.25,21.0928571428571
2014,34,102000,6,NA,89.2857142857143,27.1100006103516,19.6785714285714
2014,34,102000,7,NA,85.5714285714286,0,21.5642857142857
2014,35,78000,1,NA,57,38.0099999997765,27.3428571428571
2014,35,78000,2,NA,62.4285714285714,2.79999995231628,28.0714285714286
2014,35,78000,3,NA,63.8,17.9099996183068,26.3666666666667
2014,35,78000,4,NA,77.5,35.4000002145767,26.6142857142857
2014,35,78000,5,NA,78.2857142857143,41.1999998092651,27.5
2014,35,78000,6,NA,73.1428571428571,65.7999992370605,27.7857142857143
2014,35,78000,7,NA,69.75,30.5,28.5285714285714
2014,36,152000,1,NA,99,1.76999998092651,25.5833333333333
2014,36,152000,2,NA,100,2.02999997138977,19.5
2014,36,152000,3,NA,99.8571428571429,35.4299991130829,20.7083333333333
2014,36,152000,4,NA,83.5714285714286,0,22
2014,36,152000,5,NA,89.7142857142857,5.30999994277954,20.8333333333333
2014,36,152000,6,NA,71.7142857142857,1.25999999046326,24.4404761904762
2014,36,152000,7,NA,87.4285714285714,2.77999997138977,26.0297619047619
2014,37,673000,1,NA,63.8571428571429,0,25.9142857142857
2014,37,673000,2,NA,61.4285714285714,0,24.3142857142857
2014,37,673000,3,NA,60.3333333333333,0,27.2142857142857
2014,37,673000,4,NA,64.5714285714286,0,28.4
2014,37,673000,5,NA,62.6666666666667,0,26.0714285714286
2014,37,673000,6,NA,60.8,0,23.2214285714286
2014,37,673000,7,NA,64.8571428571429,0,24.7571428571429
2014,38,197000,1,NA,75.5,0,19.2202380952381
2014,38,197000,2,NA,80.6866666666667,0,21.5833333333333
2014,38,197000,3,NA,82.2857142857143,7.81000019051135,23.4642857142857
2014,38,197000,4,NA,81.6666666666667,0,21.7142857142857
2014,38,197000,5,NA,67.0657142857143,0,19.8928571428571
2014,38,197000,6,NA,74.2857142857143,0,21.7857142857143
2014,38,197000,7,NA,85.4285714285714,25.5999996066093,24.8214285714286
2014,42,202000,1,NA,70,0,18.4857142857143
2014,42,202000,2,NA,67.3333333333333,0,14.5142857142857
2014,42,202000,3,NA,69.75,0,16.7714285714286
2014,42,202000,4,NA,75,0,16.0285714285714
2014,42,202000,5,NA,64.25,0,11.8714285714286
2014,42,202000,6,NA,65.3333333333333,0,6.95714285714286
2014,42,202000,7,NA,63.75,0,16.6714285714286
2014,50,1119000,1,NA,76.5542857142857,3.55999994277954,16.3571428571429
2014,50,1119000,2,NA,70.2083333333333,10.8999996185303,17.4571428571429
2014,50,1119000,3,NA,28.3571428571429,0,22.1071428571429
2014,50,1119000,4,NA,31.3833333333333,0,21.2071428571429
2014,50,1119000,5,NA,26.605,0,22.3714285714286
2014,50,1119000,6,NA,34.88,1.20000004768372,23.2785714285714
2014,50,1119000,7,NA,32.6928571428571,7.28999996185303,24.7714285714286
2014,51,758000,1,NA,34.3333333333333,0,13.7333333333333
2014,51,758000,2,NA,24,0,11.8
2014,51,758000,3,NA,42.4285714285714,14,20.6428571428571
2014,51,758000,4,NA,52.1666666666667,12.3999998122454,16.35
2014,51,758000,5,NA,45.5714285714286,0.200000002980232,17.9571428571429
2014,51,758000,6,NA,32.7142857142857,0,15.4142857142857
2014,51,758000,7,NA,41.2857142857143,7.99999991059303,15.6714285714286
2014,52,424000,1,NA,83,1.50999999046326,18.7
2014,52,424000,2,NA,71.1428571428571,2.25999999046326,12.6428571428571
2014,52,424000,3,NA,93.8571428571429,22.6100001335144,14.4428571428571
2014,52,424000,4,NA,75.7142857142857,0.75,15.1
2014,52,424000,5,NA,84.1428571428571,3.51999998092651,12.9714285714286
2014,52,424000,6,NA,87,7.25999999046326,17.2142857142857
2014,52,424000,7,NA,76.2857142857143,0,18.0714285714286
2014,53,165000,1,NA,83.6666666666667,0,26.3333333333333
2014,53,165000,2,NA,73.75,2.02999997138977,24.5714285714286
2014,53,165000,3,NA,83.8571428571429,0,22.7
2014,53,165000,4,NA,76.6,0,25.2428571428571
2014,53,165000,5,NA,81.8571428571429,0,26.25
2014,53,165000,6,NA,76,1.00999999046326,26.2
2014,53,165000,7,NA,75.5,7.1100001335144,30.5428571428571
2014,54,141000,1,NA,53.6666666666667,0,17.4857142857143
2014,54,141000,2,NA,50.1428571428571,0,17.6071428571429
2014,54,141000,3,NA,60.7142857142857,3.79999995231628,18.2857142857143
2014,54,141000,4,NA,49.3514285714286,0,20.5571428571429
2014,54,141000,5,NA,54.2857142857143,0,17.8857142857143
2014,54,141000,6,NA,50.31,0,18.9428571428571
2014,54,141000,7,NA,52.2857142857143,0,21.5142857142857
2014,55,218000,1,NA,84.17,7.20000004768372,29.4428571428571
2014,55,218000,2,NA,83.5385714285714,39.1000000983477,29.9
2014,55,218000,3,NA,81.3528571428571,54.0999999046326,26.6428571428571
2014,55,218000,4,NA,84.07,20.500000372529,29.1857142857143
2014,55,218000,5,NA,77.9914285714286,0,30.0785714285714
2014,55,220000,6,NA,66.5971428571429,0,26.1714285714286
2014,55,220000,7,NA,66.93,0,25.0857142857143
